timestamp_ms,result,latency_ms,detail
1784261766881,OK,601.465,http_200
1784261767522,OK,196.223,http_200
1784261767741,OK,191.485,http_200
1784261767956,OK,186.059,http_200
1784261768162,OK,195.627,http_200
1784261768379,OK,185.855,http_200
1784261768590,OK,314.690,http_200
1784261768927,OK,208.803,http_200
1784261769157,OK,190.281,http_200
1784261769372,OK,199.826,http_200
1784261769595,OK,202.339,http_200
1784261769821,OK,225.104,http_200
1784261770068,OK,207.290,http_200
1784261770297,OK,211.081,http_200
1784261770532,OK,182.426,http_200
1784261770738,OK,184.319,http_200
1784261770943,OK,179.923,http_200
1784261771144,OK,185.636,http_200
1784261771353,OK,204.948,http_200
1784261771580,OK,195.922,http_200
1784261771796,OK,191.270,http_200
1784261772008,OK,188.850,http_200
1784261772219,OK,181.998,http_200
1784261772424,OK,185.454,http_200
1784261772629,OK,192.383,http_200
1784261772843,OK,182.257,http_200
1784261773046,OK,181.283,http_200
1784261773248,OK,185.221,http_200
1784261773455,OK,181.513,http_200
1784261773658,OK,190.378,http_200
1784261773868,OK,177.633,http_200
1784261774065,OK,186.565,http_200
1784261774278,OK,217.523,http_200
1784261774521,OK,192.530,http_200
1784261774735,OK,167.184,http_200
1784261774924,OK,188.477,http_200
1784261775134,OK,183.801,http_200
1784261775339,OK,186.820,http_200
1784261775549,OK,188.013,http_200
1784261775759,OK,173.582,http_200
1784261775952,OK,200.307,http_200
1784261776174,OK,169.027,http_200
1784261776364,OK,188.557,http_200
1784261776574,OK,188.218,http_200
1784261776781,OK,179.425,http_200
1784261776981,OK,178.666,http_200
1784261777181,OK,181.941,http_200
1784261777386,OK,202.356,http_200
1784261777609,OK,185.542,http_200
1784261777816,OK,189.989,http_200
1784261778028,OK,190.580,http_200
1784261778238,OK,184.743,http_200
1784261778446,OK,236.210,http_200
1784261778706,OK,183.484,http_200
1784261778911,OK,189.111,http_200
1784261779121,OK,178.529,http_200
1784261779323,OK,183.265,http_200
1784261779526,OK,171.851,http_200
1784261779723,OK,216.197,http_200
1784261779961,OK,193.721,http_200
1784261780177,OK,167.548,http_200
1784261780368,OK,204.074,http_200
1784261780596,OK,195.910,http_200
1784261780815,OK,198.036,http_200
1784261781035,OK,199.940,http_200
1784261781257,OK,182.144,http_200
1784261781461,OK,181.575,http_200
1784261781666,OK,182.487,http_200
1784261781869,OK,187.092,http_200
1784261782077,OK,181.566,http_200
1784261782284,OK,183.621,http_200
1784261782491,OK,179.428,http_200
1784261782697,OK,186.817,http_200
1784261782904,OK,191.082,http_200
1784261783118,OK,282.106,http_200
1784261783422,OK,192.526,http_200
1784261783636,OK,195.009,http_200
1784261783852,OK,174.882,http_200
1784261784048,OK,183.436,http_200
1784261784250,OK,189.390,http_200
1784261784462,OK,180.353,http_200
1784261784664,OK,190.229,http_200
1784261784877,OK,187.245,http_200
1784261785088,OK,192.065,http_200
1784261785300,OK,191.545,http_200
1784261785511,OK,179.420,http_200
1784261785713,OK,186.566,http_200
1784261785924,OK,187.819,http_200
1784261786132,OK,174.356,http_200
1784261786329,OK,176.745,http_200
1784261786529,OK,174.701,http_200
1784261786728,OK,174.383,http_200
1784261786922,OK,193.906,http_200
1784261787142,OK,184.833,http_200
1784261787348,OK,192.278,http_200
1784261787564,OK,177.908,http_200
1784261787761,OK,184.163,http_200
1784261787966,OK,186.626,http_200
1784261788174,OK,187.320,http_200
1784261788384,OK,168.554,http_200
