timestamp_ms,result,latency_ms,detail
1784261936551,OK,186.186,http_200
1784261937011,OK,207.366,http_200
1784261937491,OK,188.654,http_200
1784261937954,OK,197.451,http_200
1784261938427,OK,182.046,http_200
1784261938883,OK,201.567,http_200
1784261939357,OK,196.123,http_200
1784261939827,OK,180.050,http_200
1784261940278,OK,195.524,http_200
1784261940745,OK,202.482,http_200
1784261941225,OK,188.882,http_200
1784261941692,OK,184.025,http_200
1784261942148,OK,199.600,http_200
1784261942621,OK,172.736,http_200
1784261943067,OK,183.484,http_200
1784261943525,OK,189.528,http_200
1784261943988,OK,189.243,http_200
1784261944452,OK,188.200,http_200
1784261944913,OK,196.333,http_200
1784261945381,OK,182.467,http_200
1784261945835,OK,200.822,http_200
1784261946310,OK,185.436,http_200
1784261946770,OK,189.161,http_200
1784261947231,OK,178.323,http_200
1784261947684,OK,190.936,http_200
1784261948150,OK,186.086,http_200
1784261948611,OK,194.064,http_200
1784261949080,OK,183.783,http_200
1784261949536,OK,182.327,http_200
1784261949991,OK,171.918,http_200
1784261950435,OK,194.700,http_200
1784261950902,OK,201.795,http_200
1784261951378,OK,208.910,http_200
1784261951860,OK,176.536,http_200
1784261952308,OK,180.896,http_200
1784261952761,OK,176.681,http_200
1784261953213,OK,182.619,http_200
1784261953671,OK,173.230,http_200
1784261954116,OK,180.975,http_200
1784261954573,OK,173.843,http_200
1784261955019,OK,173.292,http_200
1784261955465,OK,190.853,http_200
1784261955929,OK,197.491,http_200
1784261956398,OK,191.006,http_200
1784261956862,OK,187.394,http_200
1784261957321,OK,180.236,http_200
1784261957773,OK,185.078,http_200
1784261958232,OK,192.137,http_200
1784261958698,OK,191.383,http_200
1784261959161,OK,170.475,http_200
1784261959605,OK,199.532,http_200
1784261960082,OK,178.992,http_200
1784261960535,OK,183.795,http_200
1784261960991,OK,181.971,http_200
1784261961445,OK,183.975,http_200
1784261961901,OK,2195.415,http_200
1784261964369,OK,179.989,http_200
1784261964821,OK,169.629,http_200
1784261965263,OK,181.363,http_200
1784261965718,OK,181.097,http_200
1784261966174,OK,194.892,http_200
1784261966646,OK,187.604,http_200
1784261967109,OK,197.022,http_200
1784261967582,OK,181.521,http_200
1784261968035,OK,197.545,http_200
1784261968510,OK,195.764,http_200
1784261968981,OK,194.855,http_200
1784261969450,OK,220.466,http_200
1784261969947,OK,226.915,http_200
1784261970452,OK,181.732,http_200
1784261970909,OK,192.673,http_200
1784261971380,OK,187.762,http_200
1784261971841,OK,194.146,http_200
1784261972310,OK,194.099,http_200
1784261972777,OK,173.487,http_200
1784261973228,OK,194.339,http_200
1784261973696,OK,182.829,http_200
1784261974151,OK,180.763,http_200
1784261974608,OK,204.708,http_200
1784261975089,OK,189.376,http_200
1784261975553,OK,194.801,http_200
1784261976021,OK,176.401,http_200
1784261976473,OK,195.001,http_200
1784261976944,OK,194.613,http_200
1784261977417,OK,188.178,http_200
1784261977880,OK,178.370,http_200
1784261978332,OK,213.584,http_200
1784261978821,OK,188.399,http_200
1784261979286,OK,196.966,http_200
1784261979754,OK,191.864,http_200
1784261980219,OK,183.699,http_200
1784261980677,OK,182.310,http_200
1784261981132,OK,225.082,http_200
1784261981632,OK,187.177,http_200
1784261982092,OK,205.005,http_200
1784261982571,OK,233.524,http_200
1784261983077,OK,202.062,http_200
1784261983553,OK,188.202,http_200
1784261984018,OK,180.278,http_200
1784261984479,OK,199.946,http_200
1784261984954,OK,188.373,http_200
1784261985417,OK,212.160,http_200
1784261985902,OK,184.829,http_200
1784261986360,OK,191.012,http_200
1784261986824,OK,185.652,http_200
1784261987282,OK,184.958,http_200
1784261987743,OK,189.925,http_200
